"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"138","BOX1",0,"BOXR","Female","2006","no"
"139","BOXR",0,NA,"Female",NA,"no"
"140","BRAC",0,NA,"Probable Female",NA,"no"
"141","BRAN",0,NA,"Female",NA,"no"
"142","BRC2",0,"BRAC",NA,NA,"no"
"143","BRC3",0,"BRAC",NA,NA,"no"
"144","BRC4",0,"BRAC",NA,NA,"no"
"145","BRCC",0,"BRAC",NA,NA,"no"
"146","BRCH",0,NA,NA,NA,"no"
"147","BRD2",1,"BRDO","Male","1996","no"
"148","BRD3",1,"BRDO","Male","2001","no"
"149","BRDO",1,NA,"Female","1972","no"
"150","BREA",0,NA,NA,NA,"no"
"151","BRIS",0,NA,"Female",NA,"no"
"152","BRN1",0,"BRAN",NA,NA,"no"
"153","BTCH",0,NA,NA,NA,"no"
"154","BTHS",0,NA,"Probable Male",NA,"no"
"155","BTHV",0,NA,NA,NA,"no"
"156","BTLE",0,NA,"Probable Female",NA,"no"
"157","BTLN",0,NA,"Probable Female",NA,"no"
"158","BTM2",0,NA,NA,NA,"no"
"159","BTMV",0,NA,NA,NA,"no"
"160","BTTC",0,"BTTV",NA,NA,"no"
"161","BTTV",0,NA,"Probable Female",NA,"no"
"162","BTWO",0,NA,NA,NA,"no"
"163","BUMI",0,NA,NA,NA,"no"
"164","BUZL",0,NA,NA,NA,"no"
"165","C072",0,"FB07","Female","1993","no"
"166","C073",0,"FB07",NA,"1996","no"
"167","C075",0,"FB07",NA,"2002","no"
"168","C076",0,"FB07",NA,"2005","no"
"169","C077",0,"FB07",NA,"2007","no"
"170","C091",0,"FB09",NA,"1994","no"
"171","C096",0,"FB09",NA,"2009","no"
"172","C114",1,"FB11","Male","2012","no"
"173","C173",0,"FB17","Male","1993","no"
"174","C254",0,"FB25","Male","1999","no"
"175","C255",0,"FB25","Male","2002","no"
"176","C258",0,"FB25","Male","2011","no"
"177","C259",0,"FB25",NA,"2014","no"
"178","C272",0,"FB27",NA,"1997","no"
"179","C273",0,"FB27",NA,"1999","no"
"180","C275",0,"FB27",NA,"2005","no"
"181","C276",0,"FB27",NA,"2008","no"
"182","C295",0,"FB29",NA,"1996","no"
"183","C296",0,"FB29",NA,"1998","no"
"184","C330",1,"FB33","Female","2013","no"
"185","C333",0,"FB33","Female","1992","no"
"186","C335",0,"FB33","Female","2000","no"
"187","C336",0,"FB33","Female","2001","no"
"188","C391",0,"FB39",NA,"1994","no"
"189","C546",0,"FB54",NA,"2004","no"
