"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"597","HDMM",0,NA,NA,NA,"no"
"598","HDSK",0,NA,NA,NA,"no"
"599","HFFR",0,NA,NA,NA,"no"
"600","HFLT",0,NA,NA,NA,"no"
"601","HILB",0,NA,"Male",NA,"no"
"602","HIPC",0,"HIPM",NA,"<1995","no"
"603","HIPM",0,NA,"Probable Female",NA,"no"
"604","HIQQ",0,NA,"Male",NA,"no"
"605","HITS",0,NA,"Male",NA,"no"
"606","HLP3",0,"HAIR",NA,"2009","no"
"607","HLP4",0,"HAIR","Male","2010","no"
"608","HLPC",0,"HAIR",NA,"2000","no"
"609","HML2",0,"HMLT","Male",NA,"no"
"610","HMLC",0,"HMLT",NA,"<2006","no"
"611","HMLS",0,NA,NA,NA,"no"
"612","HMLT",0,"TSMV","Probable Female","<1989","no"
"613","HMMC",0,"HMMM",NA,"2005","no"
"614","HMMM",0,NA,"Female",NA,"no"
"615","HMTN",0,NA,NA,NA,"no"
"616","HNB2",0,"HNBT",NA,NA,"no"
"617","HNBC",0,"HNBT",NA,"1990","no"
"618","HNBT",0,NA,"Probable Female",NA,"no"
"619","HNSC",0,NA,NA,NA,"no"
"620","HOK1",0,"HOKA",NA,NA,"no"
"621","HOK2",0,"HOKA","Male",NA,"no"
"622","HOKA",0,NA,"Probable Female",NA,"no"
"623","HOOV",0,NA,NA,NA,"no"
"624","HOV2",0,"HOVA","Male","<2009","no"
"625","HOVA",0,NA,"Female",NA,"no"
"626","HOVC",0,"HOVA","Probable Male","2005","no"
"627","HOWL",0,NA,NA,NA,"no"
"628","HPLA",0,NA,"Probable Female",NA,"no"
"629","HRDM",0,NA,NA,NA,"no"
"630","HSMS",0,NA,"Probable Female",NA,"no"
"631","HSN2",0,"HSNS",NA,"<1997","no"
"632","HSN3",0,"HSNS",NA,"2008","no"
"633","HSN4",0,"HSNS",NA,"2012","no"
"634","HSNC",0,"HSNS",NA,"1989","no"
"635","HSNS",0,NA,"Probable Female",NA,"no"
"636","HUCK",0,NA,NA,NA,"no"
"637","HUEY",0,NA,NA,NA,"no"
"638","HVMS",0,NA,"Male",NA,"no"
"639","HWK2",0,"F237",NA,"2004","no"
"640","HWK3",1,"F237","Female","2007","no"
"641","IKN2",1,"IKNO","Male","1997","no"
"642","IKNC",0,"IKNO",NA,NA,"no"
"643","IKNO",0,NA,"Female","1981","no"
"644","J001",0,NA,"Male",NA,"no"
"645","J007",0,NA,NA,NA,"no"
"646","JADE",0,NA,NA,NA,"no"
"647","JAGG",0,NA,NA,NA,"no"
"648","JAGR",0,NA,"Male",NA,"no"
"649","JAMM",0,"PNTB",NA,NA,"no"
"650","JAWS",0,NA,NA,NA,"no"
"651","JBA2",0,"JBAK",NA,"<1996","no"
"652","JBAC",0,"JBAK",NA,"1991","no"
"653","JBAK",0,NA,"Female",NA,"no"
"654","JELY",0,NA,NA,NA,"no"
"655","JETY",1,"SCSM","Male","<1997","no"
"656","JGL1",0,"JGLD",NA,"2008","no"
"657","JGL2",0,"JGLD",NA,NA,"no"
"658","JGLD",0,NA,"Probable Female",NA,"no"
"659","JIG3",0,NA,"Male",NA,"no"
"660","JOJO",0,NA,NA,NA,"no"
"661","JOSC",1,"JOSE","Male","1997","no"
"662","JOSE",0,NA,"Female","1972","no"
"663","KMBT",0,NA,NA,NA,"no"
"664","KMSN",0,NA,NA,NA,"no"
"665","KNIK",0,NA,NA,NA,"no"
"666","KNNC",0,"KNNN",NA,NA,"no"
"667","KNNN",0,NA,"Probable Female",NA,"no"
"668","KNOB",0,NA,"Probable Female",NA,"no"
"669","KNOR",0,NA,NA,NA,"no"
"670","KNSY",0,NA,NA,NA,"no"
"671","KOKO",0,NA,"Probable Female",NA,"no"
"672","KRSN",1,NA,NA,NA,"no"
"673","L108",0,NA,NA,NA,"no"
"674","L160",0,NA,NA,NA,"no"
"675","LACH",0,NA,NA,NA,"no"
"676","LAT2",0,NA,NA,NA,"no"
"677","LB2N",0,NA,NA,NA,"no"
"678","LBHL",0,NA,NA,NA,"no"
"679","LBLD",0,NA,NA,NA,"no"
"680","LBLK",0,NA,"Male",NA,"no"
"681","LBLS",0,NA,"Probable Female",NA,"no"
"682","LBMA",0,NA,"Female",NA,"no"
"683","LBMN",1,NA,NA,NA,"no"
"684","LBSC",0,"LBLS",NA,NA,"no"
"685","LBSL",0,NA,NA,NA,"no"
"686","LBT1",0,"LBTY",NA,NA,"no"
"687","LBTY",0,NA,"Probable Female",NA,"no"
"688","LCDB",0,NA,NA,NA,"no"
"689","LCKC",0,"LCKL",NA,"1992?","no"
"690","LCKL",0,NA,"Probable Female",NA,"no"
"691","LDB1",0,"LDBP",NA,NA,"no"
"692","LDBP",0,NA,"Probable Female",NA,"no"
"693","LDM2",0,"LDMA",NA,NA,"no"
"694","LDM3",0,"LDMA","Female",NA,"no"
"695","LDMA",0,NA,"Probable Female",NA,"no"
"696","LDNK",0,NA,NA,NA,"no"
"697","LEMS",0,NA,NA,NA,"no"
"698","LEON",0,"M145",NA,"1997","no"
"699","LFLG",0,NA,"Male",NA,"no"
"700","LGSC",0,"MTMN",NA,NA,"no"
"701","LHLV",0,NA,NA,NA,"no"
"702","LINK",0,"ZEL2",NA,"2014","no"
"703","LITT",0,NA,NA,NA,"no"
"704","LIWB",0,NA,NA,NA,"no"
"705","LIZ1",0,"LIZD",NA,"2008","no"
"706","LIZD",0,"SHTC","Female",NA,"no"
"707","LLLN",0,NA,"Male",NA,"no"
"708","LNBT",0,NA,NA,NA,"no"
"709","LNC2",0,"LNPC",NA,"2011","no"
"710","LNC3",0,"LNPC",NA,"2014","no"
"711","LNCC",1,"LNPC","Probable Female","2006","no"
"712","LNL1",0,"LNLD",NA,"2011","no"
"713","LNLD",1,NA,"Female",NA,"no"
"714","LNPC",0,"LNPF","Female","<1997","no"
"715","LNPF",0,NA,"Probable Female",NA,"no"
"716","LNST",0,NA,NA,NA,"no"
"717","LOBE",0,NA,NA,NA,"no"
"718","LONE",0,NA,NA,NA,"no"
"719","LOT1",0,"LOTB",NA,"2000","no"
"720","LOT2",0,"LOTB",NA,"2005","no"
"721","LOT3",0,"LOTB",NA,NA,"no"
"722","LOT4",0,"LOTB",NA,NA,"no"
"723","LOTB",0,NA,"Probable Female",NA,"no"
"724","LRBD",0,NA,NA,NA,"no"
"725","LSL1",0,NA,NA,NA,"no"
"726","LSPL",0,NA,NA,NA,"no"
"727","LSPO",0,NA,"Male",NA,"no"
"728","LTET",0,NA,NA,NA,"no"
"729","LTS2",0,"LTSM",NA,NA,"no"
"730","LTSM",0,NA,"Probable Female",NA,"no"
"731","LUMP",0,NA,NA,NA,"no"
"732","LWHP",0,NA,NA,NA,"no"
"733","LWMN",0,NA,NA,NA,"no"
"734","LWP1",0,"LWPT","Female","2004","no"
"735","LWP2",0,"LWPT",NA,"2008","no"
"736","LWPT",0,NA,"Female",NA,"no"
"737","LYFN",0,NA,NA,NA,"no"
"738","LYLU",0,NA,NA,NA,"no"
"739","M145",1,NA,"Probable Female",NA,"no"
"740","M164",0,NA,NA,NA,"no"
"741","MAN1",0,"MANT",NA,NA,"no"
"742","MAN2",0,"MANT",NA,NA,"no"
"743","MAN3",0,"MANT",NA,NA,"no"
"744","MANT",0,NA,"Probable Female",NA,"no"
"745","MARX",0,NA,NA,NA,"no"
"746","MAUD",0,NA,NA,NA,"no"
"747","MBAB",0,NA,NA,NA,"no"
"748","MBOX",0,NA,NA,NA,"no"
"749","MCM2",0,"MCMA",NA,"1994","no"
"750","MCM3",0,"MCMA",NA,"1999","no"
"751","MCMA",0,NA,"Female",NA,"no"
"752","MDLB",0,NA,"Male",NA,"no"
"753","MDNK",0,NA,"Female",NA,"no"
"754","MDPK",0,NA,NA,NA,"no"
"755","MDSQ",0,NA,NA,NA,"no"
"756","MEAD",0,NA,"Female",NA,"no"
"757","MHBT",0,NA,NA,NA,"no"
"758","MIDF",0,NA,"Male",NA,"no"
"759","MIDM",0,NA,"Male",NA,"no"
"760","MJM2",0,"MJMA",NA,"1998","no"
"761","MLOB",0,NA,"Female",NA,"no"
"762","MLOC",0,"MLOB",NA,"<1995","no"
"763","MLTS",0,NA,NA,NA,"no"
"764","MLVN",1,NA,NA,NA,"no"
"765","MM62",0,NA,NA,NA,"no"
"766","MM68",0,NA,NA,NA,"no"
"767","MM72",0,NA,"Male",NA,"no"
"768","MNC2",0,"MNCB",NA,NA,"no"
"769","MNCB",0,NA,"Probable Female",NA,"no"
"770","MNIC",0,"MNIK",NA,"1998","no"
"771","MNIK",0,NA,"Probable Female",NA,"no"
"772","MOCH",1,NA,NA,NA,"no"
"773","MOLA",0,NA,"Probable Female",NA,"no"
"774","MOML",0,NA,NA,NA,"no"
"775","MOOY",0,NA,NA,NA,"no"
"776","MORB",0,NA,"Male",NA,"no"
"777","MORC",0,"MORN",NA,NA,"no"
"778","MORN",0,NA,"Female",NA,"no"
"779","MPTB",1,NA,"Male",NA,"no"
"780","MRMS",0,NA,NA,NA,"no"
"781","MRN2",0,"MORN",NA,NA,"no"
"782","MSLB",0,NA,"Female",NA,"no"
"783","MSQ2",0,NA,NA,NA,"no"
"784","MSQL",0,NA,NA,NA,"no"
"785","MSR2",0,NA,NA,NA,"no"
"786","MSUC",0,"MSUM",NA,"1991","no"
"787","MSUM",0,NA,"Probable Female",NA,"no"
"788","MTB1",0,"MTBG",NA,NA,"no"
"789","MTBG",0,NA,"Female",NA,"no"
"790","MTEL",0,NA,NA,NA,"no"
"791","MTHR",0,NA,NA,NA,"no"
"792","MTLR",0,NA,NA,NA,"no"
"793","MTMN",0,NA,"Probable Female",NA,"no"
"794","MTSS",0,NA,"Probable Female",NA,"no"
"795","MTWO",0,NA,"Male",NA,"no"
"796","MUBT",0,NA,NA,NA,"no"
"797","MVON",0,NA,"Male",NA,"no"
"798","MYST",0,NA,"Female",NA,"no"
"799","NACK",0,NA,"Male",NA,"no"
"800","NADW",0,NA,NA,NA,"no"
"801","NANA",0,"PNTB","Probable Male","2014","no"
"802","NHNK",0,NA,NA,NA,"no"
"803","NIB2",0,NA,"Probable Female",NA,"no"
"804","NIGT",0,NA,NA,NA,"no"
"805","NIK2",0,NA,NA,NA,"no"
"806","NIP2",0,"NIPN",NA,NA,"no"
"807","NIPP",0,NA,NA,NA,"no"
"808","NKAL",0,NA,NA,NA,"no"
"809","NKL2",0,"NKLN",NA,NA,"no"
"810","NKLD",0,NA,NA,NA,"no"
"811","NKLN",0,NA,"Female",NA,"no"
"812","NKNC",0,"NKNN",NA,"1998","no"
"813","NKNN",0,NA,"Probable Female",NA,"no"
"814","NKS1",0,"NKSH",NA,NA,"no"
"815","NKSH",0,NA,"Probable Female",NA,"no"
"816","NLPS",0,NA,NA,NA,"no"
"817","NOMS",0,NA,"Male",NA,"no"
"818","NPK1",0,"NPKR",NA,"2007","no"
"819","NPKR",0,"NPK1","Probable Female",NA,"no"
"820","OIEA",0,NA,NA,NA,"no"
"821","OINK",0,NA,NA,NA,"no"
"822","OPAL",0,NA,NA,NA,"no"
"823","OPTP",0,NA,NA,NA,"no"
"824","ORNG",0,NA,NA,NA,"no"
"825","OTH_1083",0,NA,NA,NA,"no"
"826","OTH_183",0,NA,NA,NA,"no"
"827","OTH_230",0,NA,NA,NA,"no"
"828","OTH_292",0,NA,NA,NA,"no"
"829","OTH_295",0,NA,NA,NA,"no"
"830","OTH_376",0,NA,NA,NA,"no"
"831","OTH_378",0,NA,NA,NA,"no"
"832","OTH_395",0,NA,NA,NA,"no"
"833","OTH_441",0,NA,NA,NA,"no"
"834","OTH_456",0,NA,NA,NA,"no"
"835","OTH_487",0,NA,NA,NA,"no"
"836","OTH_503",0,NA,NA,NA,"no"
"837","OTH_506",0,NA,NA,NA,"no"
"838","OTH_519",0,NA,NA,NA,"no"
"839","OTH_561",0,NA,NA,NA,"no"
"840","OTH_590",0,NA,NA,NA,"no"
"841","OTH_591",0,NA,NA,NA,"no"
"842","OTH_597",0,NA,NA,NA,"no"
"843","OTH_601",0,NA,NA,NA,"no"
"844","OTH_602",0,NA,NA,NA,"no"
"845","OTH_604",0,NA,NA,NA,"no"
"846","OTH_605",0,NA,NA,NA,"no"
"847","OTH_606",0,NA,NA,NA,"no"
"848","OTH_607",0,NA,NA,NA,"no"
"849","OTH_609",0,NA,NA,NA,"no"
"850","OTH_610",0,NA,NA,NA,"no"
"851","OTH_612",0,NA,NA,NA,"no"
"852","OTH_702",0,NA,NA,NA,"no"
"853","OTH_707",0,NA,NA,NA,"no"
"854","OTH_894",0,NA,NA,NA,"no"
"855","OTH_906",0,NA,NA,NA,"no"
"856","OTH_984",0,NA,NA,NA,"no"
"857","P3C1",0,"PSC3",NA,NA,"no"
"858","P3C2",0,"PSC3",NA,NA,"no"
"859","P3SP",1,NA,NA,NA,"no"
"860","PAL1",0,"F231",NA,NA,"no"
"861","PDFT",0,NA,NA,NA,"no"
"862","PECK",0,NA,NA,NA,"no"
"863","PHIL",0,NA,"Probable Female",NA,"no"
"864","PHIN",0,NA,"Female",NA,"no"
"865","PHL1",0,"PHIL",NA,"2004","no"
"866","PHL2",0,"PHIL","Female",NA,"no"
"867","PHNE",0,NA,NA,NA,"no"
"868","PIL1",0,"PILA",NA,"2004","no"
"869","PILA",0,NA,"Female",NA,"no"
"870","PINC",0,NA,NA,NA,"no"
"871","PITA",0,NA,NA,NA,"no"
"872","PLG2",0,"PLUG",NA,NA,"no"
"873","PLOB",0,NA,NA,NA,"no"
"874","PLUC",0,"PLUG",NA,NA,"no"
"875","PLUG",0,NA,"Probable Female",NA,"no"
"876","PMID",0,NA,NA,NA,"no"
"877","PMTI",0,NA,NA,NA,"no"
"878","PN04",0,NA,NA,NA,"no"
"879","PN05",0,NA,"Female",NA,"no"
"880","PNB2",0,"PNBT",NA,NA,"no"
"881","PNB3",0,"PNBT",NA,NA,"no"
"882","PNBC",0,"PNBT","Male","2006","no"
"883","PNBS",0,NA,"Male",NA,"no"
"884","PNBT",0,NA,"Probable Female",NA,"no"
"885","PNGS",0,NA,NA,NA,"no"
"886","PNKD",0,NA,NA,NA,"no"
"887","PNLB",0,NA,NA,NA,"no"
"888","PNTB",0,NA,"Female",NA,"no"
"889","POCO",0,NA,NA,NA,"no"
"890","POLC",0,"POLV",NA,NA,"no"
"891","POLV",0,NA,"Probable Female",NA,"no"
"892","POOF",0,NA,NA,NA,"no"
"893","PORT",0,NA,"Probable Female",NA,"no"
"894","PPS1",0,"PPSL",NA,NA,"no"
"895","PPSL",0,NA,"Probable Female",NA,"no"
"896","PRF2",0,"PRFR",NA,"2006?","no"
"897","PRF3",0,"PRFR",NA,NA,"no"
"898","PRF4",0,"PRFR",NA,NA,"no"
"899","PRFC",0,"PRFR",NA,"1995?","no"
"900","PRFR",0,NA,"Probable Female",NA,"no"
"901","PRN2",0,NA,"Female",NA,"no"
"902","PROF",0,NA,NA,NA,"no"
"903","PRST",0,NA,NA,NA,"no"
"904","PSB2",0,"PSBZ",NA,NA,"no"
"905","PSBZ",0,NA,"Probable Female",NA,"no"
"906","PSC3",0,"PSDQ","Probable Female",NA,"no"
"907","PSC4",0,"PSDQ",NA,"1999","no"
"908","PSC5",0,"PSDQ",NA,"2005","no"
"909","PSC6",0,"PSDQ",NA,"2009","no"
"910","PSC7",0,"PSDQ",NA,"2013","no"
"911","PSD2",0,"PSDZ",NA,"1991?","no"
"912","PSDC",0,"PSDZ",NA,"<1989","no"
"913","PSDQ",0,NA,"Probable Female",NA,"no"
"914","PSDZ",0,NA,"Probable Female",NA,"no"
"915","PUMP",0,NA,NA,NA,"no"
"916","Q5LA",0,NA,NA,NA,"no"
"917","QECD",0,"TSMV","Male","1999","no"
"918","QUIN",0,NA,"Probable Female",NA,"no"
"919","R27L",0,NA,NA,NA,"no"
"920","RAVC",0,"ATNA",NA,NA,"no"
"921","RCCR",0,"SBUK",NA,NA,"no"
"922","RCN2",0,"RCNM",NA,NA,"no"
"923","RCNM",0,NA,"Probable Female",NA,"no"
"924","RFIO",0,"FUHU",NA,NA,"no"
"925","RFNT",0,NA,"Probable Female",NA,"no"
"926","RLTY",0,NA,NA,NA,"no"
"927","RMPL",0,NA,NA,NA,"no"
"928","RMUS",0,NA,NA,NA,"no"
"929","ROOS",0,NA,NA,NA,"no"
"930","ROSS",0,NA,NA,NA,"no"
"931","RPIA",0,NA,NA,NA,"no"
"932","RPPL",0,"BRDO",NA,"1989","no"
"933","RSFG",0,NA,NA,NA,"no"
"934","RT90",0,NA,"Probable Female",NA,"no"
"935","RT92",0,"RT90",NA,NA,"no"
"936","RTM2",0,"RTMW",NA,"1997","no"
"937","RTM3",0,"RTMW","Probable Female","2004","no"
"938","RTM4",1,"RTMW",NA,"2009","no"
"939","RTM5",0,"RTMW",NA,"2012","no"
"940","RTMC",0,"RTMW",NA,NA,"no"
"941","RTMW",0,NA,"Female",NA,"no"
"942","RUBB",0,NA,NA,NA,"no"
"943","RUF2",0,NA,NA,NA,"no"
"944","RUFF",0,NA,NA,NA,"no"
"945","RY34",1,NA,"Male",NA,"no"
"946","RZLR",0,NA,NA,NA,"no"
"947","SBDO",0,NA,"Female",NA,"no"
"948","SBOK",0,NA,NA,NA,"no"
"949","SBPE",0,NA,NA,NA,"no"
"950","SBPN",0,NA,NA,NA,"no"
"951","SBUK",0,NA,"Probable Female",NA,"no"
"952","SCBT",0,NA,NA,NA,"no"
"953","SCNE",0,NA,NA,NA,"no"
"954","SCOR",0,NA,NA,NA,"no"
"955","SCS1",0,"SCSM","Probable Female","2005","no"
"956","SCS2",1,"SCSM","Probable Male","2007","no"
"957","SCSM",1,NA,"Female",NA,"no"
"958","SCTN",0,NA,"Probable Female",NA,"no"
"959","SCUP",0,NA,NA,NA,"no"
"960","SDSW",0,NA,NA,NA,"no"
"961","SEE1",0,"SETE",NA,NA,"no"
"962","SEWL",0,NA,NA,NA,"no"
"963","SGDM",0,NA,NA,NA,"no"
"964","SGL1",0,"SGLA",NA,NA,"no"
"965","SGLA",0,NA,"Probable Female",NA,"no"
"966","SGPP",0,NA,"Probable Female",NA,"no"
"967","SHBT",0,"DUDE",NA,"2004","no"
"968","SHNU",0,NA,NA,NA,"no"
"969","SHOT",0,NA,"Male",NA,"no"
"970","SHTC",0,NA,"Female",NA,"no"
"971","SIM1",0,"SIMP",NA,"2007","no"
"972","SIM2",0,"SIMP",NA,NA,"no"
"973","SIMP",0,NA,"Probable Female",NA,"no"
"974","SKYE",0,NA,NA,NA,"no"
"975","SLIT",0,NA,"Male",NA,"no"
"976","SLJ1",0,"SLJY",NA,NA,"no"
"977","SLJY",0,NA,NA,NA,"no"
"978","SLLA",0,NA,"Male",NA,"no"
"979","SLMS",0,NA,"Male",NA,"no"
"980","SMUS",0,NA,NA,NA,"no"
"981","SNOT",0,NA,NA,NA,"no"
"982","SOFA",0,NA,NA,NA,"no"
"983","SOGG",0,NA,"Male",NA,"no"
"984","SOLB",0,NA,"Male",NA,"no"
"985","SOLS",0,NA,NA,NA,"no"
"986","SOPO",0,NA,NA,NA,"no"
"987","SPAC",0,NA,"Probable Female",NA,"no"
"988","SPEC",0,NA,NA,NA,"no"
"989","SPIK",0,NA,NA,NA,"no"
"990","SPLA",0,NA,NA,NA,"no"
"991","SPRT",0,"CLAT",NA,NA,"no"
"992","SPTL",0,NA,NA,NA,"no"
"993","SQBT",0,NA,"Male",NA,"no"
"994","SRDO",0,NA,NA,NA,"no"
"995","SRFR",0,NA,NA,NA,"no"
"996","SSHK",0,NA,NA,NA,"no"
"997","STE1",0,"STEW",NA,"2007","no"
"998","STE2",0,"STEW",NA,NA,"no"
"999","STEW",0,NA,"Female",NA,"no"
"1000","STKY",0,NA,NA,NA,"no"
"1001","STLB",0,NA,NA,NA,"no"
"1002","STMN",0,NA,NA,NA,"no"
"1003","STWR",0,NA,NA,NA,"no"
"1004","SUFL",0,NA,"Male",NA,"no"
"1005","SUMO",0,NA,NA,NA,"no"
"1006","SURR",0,NA,NA,NA,"no"
"1007","TABB",0,"GITR",NA,NA,"no"
"1008","TAC2",0,"TAL2",NA,NA,"no"
"1009","TAL2",0,NA,"Probable Female",NA,"no"
"1010","TAL3",0,NA,"Probable Female",NA,"no"
"1011","TALC",0,"TAL2",NA,NA,"no"
"1012","TBBX",0,NA,NA,NA,"no"
"1013","TBEL",0,NA,NA,NA,"no"
"1014","TBTN",0,NA,"Male",NA,"no"
"1015","TCT1",0,"TCTV",NA,"2008","no"
"1016","TCTV",0,NA,"Female",NA,"no"
"1017","TDT2",0,"TDTL",NA,NA,"no"
"1018","TDTC",1,"TDTL","Probable Female","2006","no"
"1019","TDTL",0,NA,"Female",NA,"no"
"1020","TEEN",0,NA,NA,NA,"no"
"1021","TEKK",0,NA,"Probable Female",NA,"no"
"1022","TELE",0,"ULYS",NA,NA,"no"
"1023","TERM",0,NA,NA,NA,"no"
"1024","TFLG",0,NA,NA,NA,"no"
"1025","TFMS",0,NA,NA,NA,"no"
"1026","THAL",0,NA,NA,NA,"no"
"1027","THMN",0,NA,"Probable Female",NA,"no"
"1028","THNM",0,NA,NA,NA,"no"
"1029","THOC",0,"THOR",NA,"1995?","no"
"1030","THOR",0,NA,"Probable Female",NA,"no"
"1031","THRS",0,NA,NA,NA,"no"
"1032","THTH",0,NA,"Male",NA,"no"
"1033","THUB",0,NA,NA,NA,"no"
"1034","TIGR",0,NA,NA,NA,"no"
"1035","TKID",0,"MYST","Male",NA,"no"
"1036","TM32",0,"TTM3",NA,NA,"no"
"1037","TMHK",0,NA,NA,NA,"no"
"1038","TML1",0,"TMLT",NA,NA,"no"
"1039","TMLT",0,NA,"Probable Female",NA,"no"
"1040","TMSP",0,NA,"Male",NA,"no"
"1041","TNBP",1,NA,NA,NA,"no"
"1042","TNFG",0,NA,NA,NA,"no"
"1043","TNSC",0,NA,"Probable Female",NA,"no"
"1044","TNSL",0,NA,NA,NA,"no"
"1045","TONG",0,NA,NA,NA,"no"
"1046","TOT2",0,NA,NA,NA,"no"
"1047","TPOT",0,NA,NA,NA,"no"
"1048","TREX",0,NA,NA,NA,"no"
"1049","TRIC",0,"TRIF",NA,NA,"no"
"1050","TRIF",0,NA,"Probable Female",NA,"no"
"1051","TRIM",0,NA,"Probable Female",NA,"no"
"1052","TRLI",0,NA,"Male",NA,"no"
"1053","TRM1",0,"TRIM",NA,NA,"no"
"1054","TRNO",0,NA,"Probable Female",NA,"no"
"1055","TRTA",0,NA,"Probable Male",NA,"no"
"1056","TSMV",0,NA,"Probable Female",NA,"no"
"1057","TTA2",0,NA,NA,NA,"no"
"1058","TTM3",0,NA,"Female",NA,"no"
"1059","TTOO",0,NA,NA,NA,"no"
"1060","TUPE",0,NA,NA,NA,"no"
"1061","TWHN",0,NA,NA,NA,"no"
"1062","UFSK",0,NA,NA,NA,"no"
"1063","ULRU",0,NA,"Male",NA,"no"
"1064","ULTA",0,NA,NA,NA,"no"
"1065","ULY2",1,"ULYS",NA,"2006","no"
"1066","ULY3",0,"ULYS",NA,"2009","no"
"1067","ULY4",0,"ULYS",NA,NA,"no"
"1068","ULYS",0,NA,"Female",NA,"no"
"1069","UND1",0,"UNDG",NA,NA,"no"
"1070","UND2",0,"UNDG",NA,NA,"no"
"1071","UNDG",0,NA,"Probable Female",NA,"no"
"1072","UNLR",0,NA,NA,NA,"no"
"1073","UPBK",0,NA,NA,NA,"no"
"1074","URLN",0,NA,NA,NA,"no"
"1075","USLN",0,NA,NA,NA,"no"
"1076","VAIL",0,NA,NA,NA,"no"
"1077","VANB",0,NA,"Male",NA,"no"
"1078","VCRO",1,NA,"Male","1998","no"
"1079","VCUM",0,NA,NA,NA,"no"
"1080","VIVA",0,NA,NA,NA,"no"
"1081","VIZZ",0,NA,NA,NA,"no"
"1082","VLKA",0,NA,"Probable Female",NA,"no"
"1083","VNGL",0,NA,NA,NA,"no"
"1084","VOLD",0,NA,NA,NA,"no"
"1085","VRIP",0,NA,NA,NA,"no"
"1086","VRLA",0,NA,NA,NA,"no"
"1087","VST2",0,"VSTH",NA,NA,"no"
"1088","VSTC",0,"VSTH","Male","2006","no"
"1089","VSTH",0,NA,"Probable Female",NA,"no"
"1090","VTHN",0,NA,NA,NA,"no"
"1091","WALT",0,NA,NA,NA,"no"
"1092","WAN1",0,"WAND",NA,NA,"no"
"1093","WAND",0,NA,"Female",NA,"no"
"1094","WEBS",0,NA,NA,NA,"no"
"1095","WEEZ",0,"PRFR",NA,"<2002","no"
"1096","WEN1",0,"WENT",NA,"2013","no"
"1097","WENT",0,NA,"Female",NA,"no"
"1098","WHAT",0,NA,NA,NA,"no"
"1099","WHIT",0,NA,NA,NA,"no"
"1100","WHMR",0,NA,NA,NA,"no"
"1101","WHOO",0,NA,"Male",NA,"no"
"1102","WHTS",0,NA,NA,NA,"no"
"1103","WHYY",0,NA,NA,NA,"no"
"1104","WIFF",0,NA,"Male",NA,"no"
"1105","WILL",0,NA,"Male",NA,"no"
"1106","WIN1",1,"WINN",NA,NA,"no"
"1107","WINE",0,NA,NA,NA,"no"
"1108","WINN",1,NA,"Probable Female",NA,"no"
"1109","WINS",0,NA,NA,NA,"no"
"1110","WLDC",0,NA,"Probable Female",NA,"no"
"1111","WLET",1,NA,"Male",NA,"no"
"1112","WLFL",0,NA,NA,NA,"no"
"1113","WORM",0,NA,NA,NA,"no"
"1114","WRTH",0,NA,NA,NA,"no"
"1115","WTAB",0,NA,NA,NA,"no"
"1116","WTKN",0,NA,NA,NA,"no"
"1117","WTMA",0,NA,"Probable Female",NA,"no"
"1118","WTMS",0,NA,NA,NA,"no"
"1119","WVLT",0,NA,NA,NA,"no"
"1120","WWJD",0,"HAIR",NA,"2004","no"
"1121","XERX",0,NA,NA,NA,"no"
"1122","XYLO",0,NA,NA,NA,"no"
"1123","YANK",1,NA,"Male",NA,"no"
"1124","YELP",0,NA,"Probable Female",NA,"no"
"1125","YIKE",0,NA,NA,NA,"no"
"1126","YOKE",1,"OXEN",NA,NA,"no"
"1127","ZBRA",0,NA,NA,NA,"no"
"1128","ZEDC",0,"ZEDM",NA,NA,"no"
"1129","ZEL1",0,"ZELD",NA,"2000","no"
"1130","ZEL2",0,"ZELD","Probable Female","< 2005","no"
"1131","ZEL3",0,"ZELD",NA,NA,"no"
"1132","ZEL4",0,"ZELD",NA,NA,"no"
"1133","ZELD",0,NA,"Probable Female",NA,"no"
"1134","ZENN",0,NA,NA,NA,"no"
"1135","ZIPP",0,NA,"Probable Female",NA,"no"
"1136","ZONA",0,"PHIN",NA,"< 2002","no"
"1137","ZOOK",0,NA,NA,NA,"no"
"1138","ZPP1",0,"ZIPP",NA,"2008","no"
"1139","ZRB2",0,"ZRBA",NA,"2007","no"
"1140","ZRBA",0,NA,"Female",NA,"no"
"1141","ZRBC",0,"ZRBA","Male","1999","no"
"1142","ZULU",0,NA,NA,NA,"no"
