,IndividualsFID,Alias,Sex,BirthYear,DeathYear,Mom,Dad,FirstSighted,FirstSighted_Begin1993,LastSighted_End2014,HI_Indiv,Year_Confirmed,First_HI_Type,HI_Injury,Year_of_Injury,Injury_Type,
113,1062,BEGR,Male,1980,2012,NA,na,10-Aug-90,17-Aug-93,14-Sep-12,1,1990,F,1,"<2012, 2012","boat strike, ingestion",
137,2100,BOOT,Female,NA,NA,NA,na,24-Sep-93,24-Sep-93,7-Aug-14,0,NA,NA,0,NA,NA,
139,2257,BOXR,Female,NA,NA,NA,na,10-Aug-95,10-Aug-95,11-Dec-14,0,NA,NA,0,NA,NA,
195,2968,C596,Probable Male,1998,NA,FB59,na,1-Sep-98,1-Sep-98,14-Jun-10,1,2007,"A, E",0,NA,NA,
209,1744,C834,Male,1992,NA,FB83,na,19-Jun-92,22-Mar-93,1-Dec-14,1,2011,A,0,NA,NA,
210,2970,C835,Male,1998,NA,FB83,na,12-Nov-98,12-Nov-98,29-Nov-14,1,2010,A,0,NA,NA,
222,2131,C991,Female,1994,NA,FB99,na,14-Jul-94,14-Jul-94,11-Dec-14,1,2009,P,0,NA,NA,
282,1723,CWM3,Probable Female,1991,NA,WTMA,na,17-Dec-91,5-Feb-93,2-Sep-14,0,NA,NA,0,NA,NA,
307,31,DRSN,Female,NA,NA,NA,na,1-Jun-75,19-Apr-93,10-May-11,1,2008,"A, C",0,NA,NA,
321,167,F102,Male,1980,2021,F105,FB28,17-Mar-81,5-Feb-93,15-Sep-14,0,NA,NA,0,NA,NA,
324,168,F106,Male,1981,NA,F191,na,22-May-81,29-Jan-93,27-Aug-07,1,2006,A,0,NA,NA,
326,351,F108,Male,1978,2015,NA,na,5-Oct-82,20-Jan-93,5-Dec-14,1,2009,A,1,"1984, <1991","boat strike, entanglement",
327,2259,F109,Female,1995,NA,FB79,FB38,29-Aug-95,29-Aug-95,26-Dec-14,1,1999,P,1,2001-2003,entanglement,
328,1059,F110,Male,1984,NA,NA,na,11-Jul-90,20-May-93,2-Dec-14,0,NA,NA,0,NA,NA,
331,2305,F113,Female,1996,NA,FB90,FB60,17-Jun-96,17-Jun-96,11-Dec-14,0,NA,NA,1,"1998-2001, 2012",entanglement,
332,1733,F114,Male,1988,NA,NA,na,6-May-92,28-May-93,10-Nov-14,0,NA,NA,0,NA,NA,
336,1734,F118,Male,1992,NA,FB54,FB48,13-May-92,20-Jan-93,16-Jan-12,1,1997,P,1,2003,entanglement,
340,2967,F123,Female,1998,2020,FB15,FB32,25-Aug-98,25-Aug-98,4-Dec-14,0,NA,NA,0,NA,NA,
341,2903,F125,Female,1998,NA,F119,F192,1-Jul-98,1-Jul-98,26-Dec-14,1,2002,P,0,NA,NA,
343,2262,F127,Female,1995,NA,FB13,FB06,12-Sep-95,12-Sep-95,17-Aug-12,0,NA,NA,0,NA,NA,
344,1739,F128,Male,1992,2022,F153,na,29-May-92,21-Apr-93,26-Dec-14,1,1998,P,0,NA,NA,
346,572,F131,Female,1988,NA,FB59,F112,19-Jun-88,23-Apr-93,26-Dec-14,0,NA,NA,1,<1992,entanglement,
348,2990,F133,Female,1999,NA,FB90,F106,1-Jun-99,1-Jun-99,4-Dec-14,1,2009,A,0,NA,NA,
349,423,F134,Male,1982,NA,NA,na,30-Jun-83,5-Feb-93,7-May-10,0,NA,NA,0,NA,NA,
350,3040,F135,Female,2000,NA,FB54,FB48,5-Jul-00,5-Jul-00,11-Dec-14,1,2002,P,0,NA,NA,
352,3029,F137,Female,2000,NA,F157,FB28,9-Jun-00,9-Jun-00,6-Nov-14,1,2013,A,0,NA,NA,
353,1831,F138,Male,1992,NA,FB63,FB60,26-Aug-92,5-Feb-93,26-Dec-14,1,2004,P,1,2001-2004,entanglement,
355,1855,F141,Female,1990,NA,NA,na,9-Sep-92,20-Sep-93,2-Oct-14,0,NA,NA,0,NA,NA,
