id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
HJA,no,NA,NA,no
HLI,no,NA,NA,no
HLM,no,NA,NA,yes
HMC,no,NA,NA,yes
HMS,no,NA,NA,no
HMT,no,NA,NA,no
HNF,no,NA,NA,yes
HNN,no,NA,NA,no
HOD,no,NA,NA,no
HOG,no,NA,NA,no
HOK,no,NA,NA,no
HOL,no,NA,NA,yes
HOM,no,NA,NA,yes
HON,no,NA,NA,no
HOO,no,NA,NA,yes
HOP,no,NA,NA,yes
HOY,no,NA,NA,no
HPS,no,NA,NA,yes
HRC,no,NA,NA,no
HRT,no,NA,NA,no
HTA,no,NA,NA,no
HTG,no,NA,NA,no
HUK,no,NA,NA,no
HUL,no,NA,NA,no
HZP,no,NA,NA,yes
ICE,yes,no,63,yes
