id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
OYA,no,NA,NA,yes
PAD,no,NA,NA,yes
PAI,no,NA,NA,no
PAL,no,NA,NA,no
PAM,no,NA,NA,no
PAN,no,NA,NA,no
PAR,no,NA,NA,no
PAS,no,NA,NA,yes
PAT,no,NA,NA,no
PAU,no,NA,NA,no
PAW,no,NA,NA,yes
PCT,no,NA,NA,no
PEA,yes,yes,17,no
PEC,no,NA,NA,no
PED,no,NA,NA,no
PEN,no,NA,NA,yes
PEP,no,NA,NA,no
PER,no,NA,NA,yes
PET,no,NA,NA,no
PEY,no,NA,NA,yes
PGN,no,NA,NA,yes
PGY,no,NA,NA,yes
PHA,no,NA,NA,no
PHI,no,NA,NA,no
PIA,no,NA,NA,yes
PIC,no,NA,NA,no
PIE,no,NA,NA,no
PIM,yes,yes,47,no
PIN,yes,yes,12,no
PIP,no,NA,NA,yes
PIR,no,NA,NA,no
PJA,no,NA,NA,yes
PLA,no,NA,NA,no
PLM,no,NA,NA,yes
PLO,no,NA,NA,no
PML,no,NA,NA,no
PNA,no,NA,NA,no
PNN,no,NA,NA,yes
POB,no,NA,NA,no
POE,no,NA,NA,no
POI,no,NA,NA,no
POK,no,NA,NA,yes
PON,no,NA,NA,no
POO,no,NA,NA,yes
POP,no,NA,NA,yes
POR,no,NA,NA,no
POS,no,NA,NA,no
POT,yes,yes,52,no
POW,no,NA,NA,no
POX,no,NA,NA,no
PPY,no,NA,NA,no
PRC,no,NA,NA,yes
PRH,no,NA,NA,yes
PRI,no,NA,NA,no
PRK,no,NA,NA,no
PRO,no,NA,NA,yes
PTA,no,NA,NA,yes
PTG,no,NA,NA,yes
PUA,no,NA,NA,no
PUC,no,NA,NA,yes
PUM,no,NA,NA,no
PUN,no,NA,NA,no
PUP,no,NA,NA,no
PUT,no,NA,NA,no
PYT,no,NA,NA,no
QUA,yes,yes,65,no
RAD,no,NA,NA,no
RAG,no,NA,NA,no
RAH,no,NA,NA,no
RAL,no,NA,NA,no
RAM,no,NA,NA,no
RAN,no,NA,NA,no
RAP,no,NA,NA,yes
RAS,no,NA,NA,no
RAT,no,NA,NA,no
RAU,no,NA,NA,no
RBY,no,NA,NA,no
RCO,no,NA,NA,no
RCY,no,NA,NA,yes
RDA,yes,no,68,no
RED,no,NA,NA,no
REE,no,NA,NA,no
REG,no,NA,NA,yes
REX,no,NA,NA,no
RGN,no,NA,NA,yes
RHI,no,NA,NA,no
RHY,yes,yes,39,no
RIC,no,NA,NA,no
RID,no,NA,NA,yes
RIN,no,NA,NA,no
RIO,yes,yes,21,no
RIS,no,NA,NA,yes
RIT,no,NA,NA,yes
RJA,yes,no,76,no
RLF,no,NA,NA,yes
RNA,no,NA,NA,no
ROB,no,NA,NA,no
ROC,no,NA,NA,no
ROG,no,NA,NA,no
ROH,no,NA,NA,no
ROK,no,NA,NA,yes
RON,no,NA,NA,no
ROO,no,NA,NA,yes
ROS,no,NA,NA,no
ROT,no,NA,NA,no
ROY,no,NA,NA,no
RPC,no,NA,NA,no
RTR,no,NA,NA,no
RUD,no,NA,NA,no
RUM,no,NA,NA,yes
RYA,no,NA,NA,no
RYL,no,NA,NA,no
RYM,no,NA,NA,yes
SAI,no,NA,NA,no
SAL,no,NA,NA,no
SAM,yes,yes,24,no
SAN,yes,no,42,no
SAR,no,NA,NA,no
SAS,no,NA,NA,no
SAV,no,NA,NA,no
SAW,no,NA,NA,no
SCA,no,NA,NA,no
SCH,no,NA,NA,no
SCN,no,NA,NA,no
SCO,no,NA,NA,no
SCT,yes,yes,50,no
SDR,no,NA,NA,no
SER,no,NA,NA,no
SGO,no,NA,NA,yes
SHA,no,NA,NA,no
SHD,no,NA,NA,no
SHE,no,NA,NA,no
SHI,no,NA,NA,no
SHK,no,NA,NA,no
SHM,no,NA,NA,yes
SHN,no,NA,NA,no
SHO,yes,yes,32,no
SHP,no,NA,NA,yes
SHR,no,NA,NA,yes
SHU,no,NA,NA,yes
SHW,no,NA,NA,no
SIC,no,NA,NA,yes
SIE,no,NA,NA,no
SIL,yes,yes,34,no
SIM,no,NA,NA,no
SIN,no,NA,NA,no
SIO,no,NA,NA,no
SIP,no,NA,NA,no
SIV,no,NA,NA,no
SJA,no,NA,NA,no
SKE,no,NA,NA,no
SKP,no,NA,NA,no
SKT,no,NA,NA,yes
SKU,no,NA,NA,no
SLK,no,NA,NA,no
SLM,no,NA,NA,no
SLO,no,NA,NA,yes
SLR,no,NA,NA,yes
SLS,no,NA,NA,yes
SLU,no,NA,NA,no
SLV,no,NA,NA,no
SLY,no,NA,NA,no
SME,no,NA,NA,yes
SMI,yes,yes,41,no
SML,no,NA,NA,yes
SMO,no,NA,NA,no
SMU,no,NA,NA,no
SNA,no,NA,NA,no
SND,no,NA,NA,yes
SNE,no,NA,NA,no
SNG,no,NA,NA,yes
SNO,no,NA,NA,no
SNR,no,NA,NA,no
SNU,no,NA,NA,no
SOF,no,NA,NA,no
SOM,no,NA,NA,no
SOP,no,NA,NA,no
SOT,no,NA,NA,yes
SOU,no,NA,NA,no
SOW,no,NA,NA,yes
SPA,no,NA,NA,no
SPC,no,NA,NA,no
SPD,no,NA,NA,no
SPG,no,NA,NA,no
SPI,yes,yes,10,no
