IndividualsFID,Alias,Sex,BirthYear,DeathYear,Mom,FirstSighted,FirstSighted_Begin1993,LastSighted_End2014,HI_Indiv,Year_Confirmed,First_HI_Type,HI_Injury,Year_of_Injury,Injury_Type
2941,CBTL,NA,NA,NA,BTLN,30-Jul-98,30-Jul-98,30-Jul-98,0,NA,NA,0,NA,NA
2126,CCL4,NA,1994,1994,F111,17-May-94,17-May-94,29-Jun-94,0,NA,NA,0,NA,NA
2973,CCL6,NA,1999,NA,F111,21-Apr-99,21-Apr-99,05-Aug-02,0,NA,NA,0,NA,NA
1726,CDRA,NA,1992,NA,DRAC,27-Jan-92,09-Feb-93,13-Aug-93,0,NA,NA,0,NA,NA
2994,CDS2,NA,1999,1999,DRSN,15-Jun-99,15-Jun-99,15-Jun-99,0,NA,NA,0,NA,NA
3982,CENT,NA,NA,NA,NA,14-Aug-07,14-Aug-07,19-May-14,0,NA,NA,0,NA,NA
5178,CHAD,Female,NA,NA,NA,11-Jun-13,11-Jun-13,12-Jun-13,0,NA,NA,0,NA,NA
444,CHK2,Probable Female,NA,NA,NA,22-Jul-83,18-May-93,07-May-96,0,NA,NA,0,NA,NA
57,CHMA,Probable Female,NA,NA,NA,30-May-76,16-Sep-93,18-Jul-03,0,NA,NA,0,NA,NA
4896,CHOC,NA,NA,NA,TRIF,17-Jun-10,17-Jun-10,07-Aug-14,0,NA,NA,0,NA,NA
578,CHSL,Male,NA,NA,NA,10-Jul-88,13-Sep-93,19-May-11,0,NA,NA,0,NA,NA
767,CHTO,NA,1988,NA,NA,01-Oct-88,01-Jun-00,21-Apr-06,0,NA,NA,0,NA,NA
3730,CIER,NA,NA,NA,NA,21-May-04,21-May-04,11-Apr-14,0,NA,NA,0,NA,NA
1746,CKB2,NA,NA,NA,KNOB,20-Jul-92,07-Jul-93,06-Aug-95,0,NA,NA,0,NA,NA
4841,CL-4841,NA,NA,NA,LBHL,08-Jun-10,08-Jun-10,08-Jun-10,0,NA,NA,0,NA,NA
4993,CL-4987,NA,NA,NA,NA,18-Jun-12,18-Jun-12,18-Jun-12,0,NA,NA,0,NA,NA
5121,CL-5034,NA,NA,NA,NA,21-Jun-11,21-Jun-11,21-Jun-11,0,NA,NA,0,NA,NA
5069,CL-5063,NA,NA,NA,NA,19-May-11,19-May-11,21-Jun-11,0,NA,NA,0,NA,NA
5100,CL-5091,NA,NA,NA,NA,09-Jul-13,09-Jul-13,09-Jul-13,0,NA,NA,0,NA,NA
5186,CL-5178,NA,NA,NA,NA,15-Apr-11,15-Apr-11,15-Apr-11,0,NA,NA,0,NA,NA
5200,CL-5192,NA,NA,NA,NA,16-Aug-10,16-Aug-10,15-Jul-11,0,NA,NA,0,NA,NA
5232,CL-5224,NA,NA,NA,NA,16-Aug-10,16-Aug-10,16-Aug-10,0,NA,NA,0,NA,NA
5233,CL-5225,NA,NA,NA,NA,16-Aug-10,16-Aug-10,16-Aug-10,0,NA,NA,0,NA,NA
5479,CL-5464,NA,NA,NA,NA,12-Jun-08,12-Jun-08,12-Jun-08,0,NA,NA,0,NA,NA
5484,CL-5469,NA,NA,NA,NA,01-Dec-09,01-Dec-09,14-Dec-09,0,NA,NA,0,NA,NA
5486,CL-5471,NA,NA,NA,NA,01-Dec-09,01-Dec-09,01-Dec-09,0,NA,NA,0,NA,NA
5487,CL-5472,NA,NA,NA,NA,01-Dec-09,01-Dec-09,01-Dec-09,0,NA,NA,0,NA,NA
5488,CL-5473,NA,NA,NA,NA,01-Dec-09,01-Dec-09,01-Dec-09,0,NA,NA,0,NA,NA
5489,CL-5474,NA,NA,NA,NA,01-Dec-09,01-Dec-09,01-Dec-09,0,NA,NA,0,NA,NA
5136,CLA2,Male,NA,NA,CLAT,08-Jun-10,08-Jun-10,04-Feb-14,0,NA,NA,0,NA,NA
2643,CLAT,Probable Female,NA,NA,NA,18-Sep-97,18-Sep-97,14-Jul-10,0,NA,NA,0,NA,NA
2279,CLIF,NA,NA,NA,NA,15-Jan-96,15-Jan-96,04-Jun-08,0,NA,NA,0,NA,NA
5502,CLJP,NA,NA,NA,VLKA,21-May-14,21-May-14,16-Sep-14,0,NA,NA,0,NA,NA
4045,CLUE,NA,NA,NA,NA,10-Mar-09,10-Mar-09,01-Oct-12,0,NA,NA,0,NA,NA
822,CMRS,Male,NA,2019,MRSL,11-Oct-88,17-Jun-93,11-Dec-14,0,NA,NA,0,NA,NA
1932,CONC,NA,NA,NA,CONS,17-Jun-93,17-Jun-93,08-Dec-94,0,NA,NA,0,NA,NA
297,CONS,Probable Female,NA,NA,NA,24-Jul-82,17-Jun-93,23-Feb-05,0,NA,NA,0,NA,NA
3856,COST,NA,NA,NA,NA,20-Apr-06,20-Apr-06,07-Aug-07,0,NA,NA,0,NA,NA
2240,CPS2,NA,NA,NA,PSDQ,31-May-95,31-May-95,31-Jul-95,0,NA,NA,0,NA,NA
1422,CRAG,NA,NA,NA,NA,05-Oct-90,06-Feb-93,18-Jan-01,0,NA,NA,0,NA,NA
5376,CRKS,NA,NA,NA,NA,12-Nov-13,12-Nov-13,12-Nov-13,0,NA,NA,0,NA,NA
2558,CRUM,NA,NA,NA,NA,06-Feb-97,06-Feb-97,12-Nov-13,0,NA,NA,0,NA,NA
3056,CSH3,NA,2000,NA,SHTC,25-Jul-00,25-Jul-00,16-May-03,0,NA,NA,0,NA,NA
5023,CSPD,NA,NA,NA,NA,02-Feb-12,02-Feb-12,06-Feb-12,0,NA,NA,0,NA,NA
2095,CTA3,NA,NA,NA,TAL3,23-Sep-93,23-Sep-93,23-Sep-93,0,NA,NA,0,NA,NA
2544,CTS2,NA,1996,NA,TSMV,27-Aug-96,27-Aug-96,29-Aug-96,0,NA,NA,0,NA,NA
3003,CTS3,Male,1999,NA,TSMV,20-Jul-99,20-Jul-99,21-Aug-00,0,NA,NA,0,NA,NA
4007,CTS4,NA,2008,NA,TSMV,03-Jun-08,03-Jun-08,07-Aug-14,0,NA,NA,0,NA,NA
5539,CTS5,NA,2014,NA,TSMV,07-Aug-14,07-Aug-14,13-Nov-14,0,NA,NA,0,NA,NA
959,CTSM,Probable Female,1989?,NA,TSMV,26-Sep-89,17-Sep-93,17-Sep-93,0,NA,NA,0,NA,NA
5524,CTW1,NA,NA,NA,CATW,07-Feb-07,07-Feb-07,25-Jun-07,0,NA,NA,0,NA,NA
5086,CTW2,NA,NA,NA,CATW,01-Dec-09,01-Dec-09,01-Nov-10,0,NA,NA,0,NA,NA
4923,CTW3,NA,NA,NA,CATW,04-Dec-12,04-Dec-12,22-May-13,0,NA,NA,0,NA,NA
4897,CW32,NA,2012,NA,CWM3,01-Oct-12,01-Oct-12,02-Sep-14,0,NA,NA,0,NA,NA
3938,CW3C,NA,2006,NA,CWM3,06-Dec-06,06-Dec-06,02-Nov-10,0,NA,NA,0,NA,NA
1723,CWM3,Probable Female,1991,NA,WTMA,17-Dec-91,05-Feb-93,02-Sep-14,0,NA,NA,0,NA,NA
2251,CWM4,NA,1995,NA,WTMA,28-Jun-95,28-Jun-95,16-May-96,0,NA,NA,0,NA,NA
2072,CYEL,NA,NA,NA,YELP,17-Sep-93,17-Sep-93,19-May-96,0,NA,NA,0,NA,NA
4096,DAB1,Male,2010,NA,DABL,17-Jun-10,17-Jun-10,15-Sep-14,0,NA,NA,0,NA,NA
5064,DAB2,NA,2013,NA,DABL,17-Jun-13,17-Jun-13,01-Dec-14,1,2014,A,0,NA,NA
3756,DABL,Female,NA,NA,NA,15-Jul-04,15-Jul-04,01-Dec-14,1,2014,A,0,NA,NA
5084,DAD2,NA,NA,NA,DADA,20-Nov-09,20-Nov-09,22-May-14,0,NA,NA,0,NA,NA
2716,DADA,Probable Female,NA,NA,NA,06-Oct-97,06-Oct-97,22-May-14,0,NA,NA,0,NA,NA
2717,DADC,NA,NA,NA,DADA,06-Oct-97,06-Oct-97,13-Oct-97,0,NA,NA,0,NA,NA
4028,DAF1,NA,2008,NA,DAFT,06-Aug-08,06-Aug-08,17-Sep-10,0,NA,NA,0,NA,NA
4943,DAF2,NA,NA,NA,DAFT,04-Feb-13,04-Feb-13,11-Mar-14,0,NA,NA,0,NA,NA
3156,DAFT,Female,NA,NA,NA,19-Jun-01,19-Jun-01,11-Mar-14,0,NA,NA,0,NA,NA
3958,DAIN,Female,NA,NA,PLUG,21-May-07,21-May-07,12-Sep-13,0,NA,NA,0,NA,NA
3545,DBHN,NA,NA,NA,NA,21-Jul-03,21-Jul-03,05-Jul-06,0,NA,NA,0,NA,NA
119,DEDO,Probable Female,NA,NA,NA,28-Sep-80,08-Oct-93,19-Oct-00,0,NA,NA,0,NA,NA
2548,DIGT,Male,NA,NA,NA,28-Aug-96,28-Aug-96,07-Oct-03,0,NA,NA,0,NA,NA
5028,DIL1,NA,NA,NA,DILL,17-Apr-13,17-Apr-13,11-Nov-13,0,NA,NA,0,NA,NA
5027,DILL,Probable Female,NA,NA,NA,08-Sep-10,08-Sep-10,11-Nov-13,0,NA,NA,0,NA,NA
477,DIPT,Male,1973,2000,NA,07-Sep-83,17-May-93,19-Jun-00,0,NA,NA,0,NA,NA
2286,DMDI,NA,NA,NA,NA,16-May-96,16-May-96,18-Mar-98,0,NA,NA,0,NA,NA
875,DRAC,Probable Female,NA,NA,NA,08-Sep-89,09-Feb-93,23-Jun-98,0,NA,NA,0,NA,NA
3791,DRAY,Female,NA,2005,NA,30-Sep-04,30-Sep-04,19-Aug-05,0,NA,NA,0,NA,NA
5270,DRBY,NA,NA,NA,NA,16-Aug-10,16-Aug-10,16-Aug-10,0,NA,NA,0,NA,NA
5113,DRM1,NA,NA,NA,DRMS,08-Oct-07,08-Oct-07,02-Sep-10,0,NA,NA,0,NA,NA
2857,DRMS,Probable Female,NA,NA,NA,21-May-98,21-May-98,07-Dec-11,0,NA,NA,0,NA,NA
31,DRSN,Female,NA,NA,NA,01-Jun-75,19-Apr-93,10-May-11,1,2008,"A, C",0,NA,NA
2091,DTHB,NA,NA,NA,NA,22-Sep-93,22-Sep-93,04-Sep-12,0,NA,NA,0,NA,NA
3024,DUDE,Probable Female,NA,NA,NA,17-May-00,17-May-00,26-Jul-07,0,NA,NA,0,NA,NA
4023,EAS1,NA,2008,NA,EASY,27-Jun-08,27-Jun-08,21-May-09,0,NA,NA,0,NA,NA
3890,EASY,Probable Female,NA,NA,NA,10-Aug-06,10-Aug-06,21-May-09,0,NA,NA,0,NA,NA
1877,EFHT,NA,NA,NA,NA,16-Sep-92,14-Mar-96,08-Jul-97,0,NA,NA,0,NA,NA
250,ELFF,Male,NA,NA,NA,29-Jun-82,15-Jun-93,28-Jun-06,1,2006,A,0,NA,NA
3326,ELIP,NA,NA,NA,NA,16-Apr-02,16-Apr-02,14-Jul-03,0,NA,NA,0,NA,NA
3127,EQDT,NA,NA,NA,NA,21-Feb-01,21-Feb-01,01-Dec-09,0,NA,NA,0,NA,NA
2746,ETM2,NA,NA,NA,ETMA,06-Nov-97,06-Nov-97,06-Nov-97,0,NA,NA,0,NA,NA
823,ETMA,Probable Female,NA,NA,NA,11-Oct-88,18-May-93,21-Jul-06,0,NA,NA,0,NA,NA
1324,ETSC,NA,NA,NA,NA,04-Sep-90,27-May-93,20-Oct-94,0,NA,NA,0,NA,NA
970,F100,Male,1989,2006,FB83,28-Sep-89,22-Jan-93,30-Jun-06,0,NA,NA,1,2006,ingestion
1044,F101,Female,1990,2004,F153,01-Jun-90,23-Aug-93,27-Jul-04,1,1994,P,0,NA,NA
167,F102,Male,1980,2021,F105,17-Mar-81,05-Feb-93,15-Sep-14,0,NA,NA,0,NA,NA
592,F104,Male,1982,1993,NA,09-Sep-88,10-Feb-93,13-Aug-93,0,NA,NA,0,NA,NA
89,F105,Female,1962,NA,NA,21-Sep-80,09-Feb-93,24-Jun-04,0,NA,NA,0,NA,NA
168,F106,Male,1981,NA,F191,22-May-81,29-Jan-93,27-Aug-07,1,2006,A,0,NA,NA
2241,F107,Female,1984,NA,NA,07-Jun-95,07-Jun-95,08-Jun-95,0,NA,NA,0,NA,NA
351,F108,Male,1978,2015,NA,05-Oct-82,20-Jan-93,05-Dec-14,1,2009,A,1,"1984, <1991","boat strike, entanglement"
2259,F109,Female,1995,NA,FB79,29-Aug-95,29-Aug-95,26-Dec-14,1,1999,P,1,2001-2003,entanglement
1059,F110,Male,1984,NA,NA,11-Jul-90,20-May-93,02-Dec-14,0,NA,NA,0,NA,NA
419,F111,Female,1968,2002,NA,25-Jun-83,05-Feb-93,05-Aug-02,0,NA,NA,1,1997,boat strike
93,F112,Male,1951,1995,NA,22-Sep-80,29-Jan-93,21-Jul-95,0,NA,NA,0,NA,NA
2305,F113,Female,1996,NA,FB90,17-Jun-96,17-Jun-96,11-Dec-14,0,NA,NA,1,"1998-2001, 2012",entanglement
1733,F114,Male,1988,NA,NA,06-May-92,28-May-93,10-Nov-14,0,NA,NA,0,NA,NA
2848,F115,Female,1967,NA,NA,18-May-98,18-May-98,23-May-00,0,NA,NA,0,NA,NA
935,F116,Male,1961,NA,NA,14-Sep-89,30-Apr-93,19-Jul-96,0,NA,NA,0,NA,NA
1929,F117,Female,1993,NA,FB25,14-Jun-93,14-Jun-93,31-May-02,0,NA,NA,0,NA,NA
1734,F118,Male,1992,NA,FB54,13-May-92,20-Jan-93,16-Jan-12,1,1997,P,1,2003,entanglement
1491,F119,Female,1991,2004,FB37,10-Jun-91,22-Jan-93,25-Jun-04,0,NA,NA,1,1995-2000,entanglement
733,F120,Male,NA,NA,NA,27-Sep-88,22-Sep-93,15-Sep-05,0,NA,NA,0,NA,NA
1738,F122,Male,1991,NA,FB90,26-May-92,20-Jan-93,23-Jul-96,0,NA,NA,0,NA,NA
2967,F123,Female,1998,2020,FB15,25-Aug-98,25-Aug-98,04-Dec-14,0,NA,NA,0,NA,NA
2903,F125,Female,1998,NA,F119,01-Jul-98,01-Jul-98,26-Dec-14,1,2002,P,0,NA,NA
581,F126,Male,<1988,NA,F129,11-Jul-88,30-Apr-93,03-Oct-14,0,NA,NA,0,NA,NA
2262,F127,Female,1995,NA,FB13,12-Sep-95,12-Sep-95,17-Aug-12,0,NA,NA,0,NA,NA
1739,F128,Male,1992,2022,F153,29-May-92,21-Apr-93,26-Dec-14,1,1998,P,0,NA,NA
575,F130,Male,1982,NA,NA,27-Jun-88,05-Feb-93,13-Jun-02,0,NA,NA,0,NA,NA
572,F131,Female,1988,NA,FB59,19-Jun-88,23-Apr-93,26-Dec-14,0,NA,NA,1,<1992,entanglement
576,F132,Male,1983,NA,NA,01-Jul-88,05-Feb-93,04-Feb-08,0,NA,NA,1,<1991,entanglement
2990,F133,Female,1999,NA,FB90,01-Jun-99,01-Jun-99,04-Dec-14,1,2009,A,0,NA,NA
423,F134,Male,1982,NA,NA,30-Jun-83,05-Feb-93,07-May-10,0,NA,NA,0,NA,NA
3040,F135,Female,2000,NA,FB54,05-Jul-00,05-Jul-00,11-Dec-14,1,2002,P,0,NA,NA
611,F136,Male,1981,NA,NA,16-Sep-88,05-Feb-93,18-Oct-05,0,NA,NA,0,NA,NA
3029,F137,Female,2000,NA,F157,09-Jun-00,09-Jun-00,06-Nov-14,1,2013,A,0,NA,NA
1831,F138,Male,1992,NA,FB63,26-Aug-92,05-Feb-93,26-Dec-14,1,2004,P,1,2001-2004,entanglement
3032,F139,Female,2000,2007,FB01,19-Jun-00,19-Jun-00,23-Jun-05,0,NA,NA,0,NA,NA
1855,F141,Female,1990,NA,NA,09-Sep-92,20-Sep-93,02-Oct-14,0,NA,NA,0,NA,NA
2566,F142,Male,1992,2020,NA,11-Jun-97,11-Jun-97,03-Dec-14,1,1999,P,0,NA,NA
2281,F144,Male,1995,1997,F111,14-Feb-96,14-Feb-96,11-Aug-97,0,NA,NA,0,NA,NA
2543,F146,Male,1996,NA,FB11,23-Aug-96,23-Aug-96,04-Dec-14,1,2013,A,0,NA,NA
298,F147,Female,NA,NA,NA,24-Jul-82,11-Feb-93,21-Oct-98,0,NA,NA,0,NA,NA
2300,F148,Male,1996,2017,FB54,12-Jun-96,12-Jun-96,04-Dec-14,1,2007,P,0,NA,NA
612,F149,Female,1981,NA,NA,16-Sep-88,28-Sep-93,03-Oct-14,1,2014,A,1,<1998,entanglement
538,F150,Male,1985,NA,F153,11-Jul-85,19-Apr-93,03-Aug-93,0,NA,NA,0,NA,NA
3053,F151,Female,2000,NA,F141,18-Jul-00,18-Jul-00,02-Oct-14,0,NA,NA,0,NA,NA
2310,F152,Male,1996,NA,F163,16-Jul-96,16-Jul-96,17-Sep-99,0,NA,NA,0,NA,NA
157,F153,Female,1953,NA,NA,14-Mar-81,20-Jan-93,26-Dec-14,1,2013,A,1,<1989,entanglement
4,F154,Male,1963,NA,NA,05-Oct-70,05-Feb-93,11-Dec-14,0,NA,NA,1,<1991,entanglement
1045,F155,Female,1990,NA,FB05,18-Jun-90,20-Jan-93,11-Dec-14,1,1990,C,0,NA,NA
559,F156,Male,1970,NA,NA,08-Jan-88,10-Feb-93,24-Sep-93,1,1991,A,1,<1991,entanglement
892,F157,Female,<1988,NA,NA,11-Sep-89,08-Jul-93,19-Oct-10,0,NA,NA,0,NA,NA
893,F158,Male,1985,NA,F157,11-Sep-89,10-Sep-93,20-Sep-13,0,NA,NA,0,NA,NA
2296,F159,Female,1996,NA,F131,31-May-96,31-May-96,03-Dec-14,1,2012,P,1,2002-2004,entanglement
846,F160,Male,1979,NA,NA,02-Jun-89,05-Feb-93,20-Oct-06,0,NA,NA,0,NA,NA
725,F161,Female,NA,NA,NA,25-Sep-88,10-Feb-93,17-Jul-97,0,NA,NA,0,NA,NA
847,F162,Male,1981,NA,NA,02-Jun-89,05-Feb-93,03-Oct-14,1,2006,A,1,<1990,entanglement
894,F163,Female,1971,NA,NA,11-Sep-89,17-Jun-93,18-Jul-03,0,NA,NA,0,NA,NA
844,F164,Male,1989,NA,F161,31-May-89,10-Feb-93,11-Dec-14,1,2014,A,0,NA,NA
2987,F165,Female,1999,NA,FB75,13-May-99,13-May-99,04-Dec-14,1,2011,"A, D",0,NA,NA
2862,F166,Male,1994,NA,F115,04-Jun-98,04-Jun-98,05-Oct-00,0,NA,NA,1,<1998,entanglement
3021,F167,Female,1989,2022,NA,11-May-00,11-May-00,13-Nov-14,0,NA,NA,0,NA,NA
3468,F169,Female,1999,NA,NA,05-Feb-03,05-Feb-03,23-Sep-05,0,NA,NA,1,<2003,entanglement
3022,F171,Female,1998,NA,F167,11-May-00,11-May-00,06-Nov-14,1,2006,B,0,NA,NA
599,F172,Male,NA,NA,NA,15-Sep-88,23-May-94,24-Jul-97,0,NA,NA,1,<1990,entanglement
3394,F173,Male,2002,NA,FB33,22-Aug-02,22-Aug-02,11-Dec-14,1,2006,A,0,NA,NA
1056,F174,Male,1964,NA,NA,10-Jul-90,08-Jul-93,23-Mar-06,0,NA,NA,1,<1998,entanglement
1498,F175,Female,1991,2015,FB75,17-Jun-91,04-Feb-93,26-Dec-14,1,1991,A,1,1998,entanglement
2864,F176,Male,1993,NA,NA,08-Jun-98,08-Jun-98,11-Dec-14,1,2013,A,0,NA,NA
3353,F177,Female,2002,2005,FB09,06-Jun-02,06-Jun-02,03-Sep-05,0,NA,NA,1,2005,boat strike
2256,F178,Male,1995,NA,FB09,24-Jul-95,24-Jul-95,04-Dec-14,1,1996,P,1,2012,boat strike
3392,F179,Female,2002,NA,FB11,24-Jul-02,24-Jul-02,04-Dec-14,1,2009,P,1,<2004,entanglement
1691,F180,Male,1988,NA,NA,17-Sep-91,03-Jun-93,05-Jun-14,0,NA,NA,0,NA,NA
433,F181,Female,1975,NA,NA,07-Jul-83,17-Jun-93,27-Aug-08,0,NA,NA,0,NA,NA
853,F182,Male,1987,NA,F183,22-Jun-89,19-Apr-93,01-Dec-14,0,NA,NA,1,1990-1994,entanglement
854,F183,Female,1972,NA,NA,22-Jun-89,27-May-93,25-Apr-06,0,NA,NA,0,NA,NA
2302,F184,Male,1996,NA,F149,13-Jun-96,13-Jun-96,08-Sep-02,0,NA,NA,0,NA,NA
3261,F185,Female,NA,NA,NA,16-Oct-01,16-Oct-01,09-May-14,0,NA,NA,1,<2004,entanglement
2313,F186,Male,1996,NA,F157,25-Jul-96,25-Jul-96,09-Jul-01,0,NA,NA,0,NA,NA
3535,F187,Female,2003,NA,F101,24-Jun-03,24-Jun-03,10-Mar-14,0,NA,NA,0,NA,NA
2292,F188,Male,1996,2022,FB33,22-May-96,22-May-96,04-Dec-14,1,2008,"A, C",1,"1999-2002, 2012","entanglement, boat strike"
3795,F189,Female,NA,NA,NA,08-Nov-04,08-Nov-04,04-Feb-05,0,NA,NA,0,NA,NA
2306,F190,Male,1996,NA,F181,19-Jun-96,19-Jun-96,01-Aug-14,1,2008,A,0,NA,NA
46,F191,Female,NA,NA,NA,11-Apr-76,25-May-93,11-Sep-00,0,NA,NA,0,NA,NA
232,F192,Male,1967,2002,NA,20-Jun-82,25-Aug-93,04-Nov-02,1,1999,F,0,NA,NA
1116,F193,Female,1984,NA,NA,16-Aug-90,18-Aug-93,02-Oct-14,1,2012,A,0,NA,NA
1009,F194,Male,1974,NA,NA,06-Oct-89,23-Aug-93,14-Jun-13,1,1990,F,1,<1999,entanglement
3329,F195,Female,1969,2007,NA,14-May-02,14-May-02,21-Jun-07,0,NA,NA,0,NA,NA
2863,F196,Male,1998,NA,F101,04-Jun-98,04-Jun-98,11-Dec-14,1,2002,P,1,2011-2014,entanglement
3514,F197,Female,2003,NA,F155,12-May-03,12-May-03,11-Dec-14,1,2009,P,0,NA,NA
2298,F198,Male,1996,2013,FB25,03-Jun-96,03-Jun-96,06-Aug-13,1,2008,"A, C",0,NA,NA
3368,F199,Female,2002,NA,WAND,20-Jun-02,20-Jun-02,03-Dec-14,1,2009,"A, B",0,NA,NA
583,F200,Male,NA,NA,NA,11-Jul-88,05-Feb-93,18-Oct-04,0,NA,NA,0,NA,NA
3836,F201,Female,2005,2007?,F193,07-Nov-05,07-Nov-05,01-May-07,1,2006,X,1,"2006, 2007","boat strike, entanglement"
526,F202,Male,1981,2006,NA,20-Dec-84,21-Jul-93,16-Aug-05,1,1992,X,0,NA,NA
3025,F203,Female,2000,NA,F149,26-May-00,26-May-00,10-May-11,1,2007,A,0,NA,NA
3877,F205,Female,2006,2013,F155,30-Jun-06,30-Jun-06,27-Jun-13,1,2008,P,0,NA,NA
3813,F207,Female,2005,NA,F175,02-Jun-05,02-Jun-05,05-Dec-14,1,2007,A,0,NA,NA
3735,F209,Female,2004,NA,FB55,04-Jun-04,04-Jun-04,04-Dec-14,1,2008,"A, C",?,2005,boat strike?
579,F210,Female,NA,NA,NA,10-Jul-88,11-Feb-93,04-Dec-08,0,NA,NA,0,NA,NA
3818,F211,Female,2005,NA,F127,11-Jul-05,11-Jul-05,13-Nov-14,1,2011,P,0,NA,NA
2995,F212,Male,1999,2002,FB03,16-Jun-99,16-Jun-99,15-Feb-02,0,NA,NA,0,NA,NA
3960,F213,Female,2007,NA,FB55,07-Jun-07,07-Jun-07,04-Dec-14,0,NA,NA,0,NA,NA
2985,F214,Male,1999,NA,FB09,11-May-99,11-May-99,17-Jun-03,0,NA,NA,0,NA,NA
3054,F215,Female,2000,NA,FB99,20-Jul-00,20-Jul-00,04-Dec-14,0,NA,NA,0,NA,NA
2913,F216,Male,1998,2001,F163,16-Jul-98,16-Jul-98,15-Jun-01,0,NA,NA,0,NA,NA
3961,F217,Female,2007,NA,F141,07-Jun-07,07-Jun-07,13-Nov-14,0,NA,NA,0,NA,NA
2984,F218,Male,1999,NA,FB55,10-May-99,10-May-99,16-Jul-07,1,2006,B,1,<2002,entanglement
2238,F219,Female,1995,NA,49LA,30-May-95,30-May-95,05-Nov-14,1,2006,A,0,NA,NA
2999,F220,Male,1999,NA,FB07,01-Jul-99,01-Jul-99,01-Oct-14,1,2005,A,0,NA,NA
4046,F221,Female,2009,NA,FB25,12-May-09,12-May-09,05-Dec-14,1,2012,A,1,2010,entanglement
3395,F222,Male,1999,NA,F131,22-Aug-02,22-Aug-02,04-Dec-14,1,2005,A,1,2005,entanglement
3973,F223,Female,2001,NA,F225,04-Sep-03,04-Sep-03,06-Nov-14,0,NA,NA,0,NA,NA
3348,F224,Male,2002,NA,FB27,30-May-02,30-May-02,15-Sep-14,1,2007,P,0,NA,NA
3974,F225,Female,NA,NA,NA,04-Sep-03,04-Sep-03,06-Nov-14,0,NA,NA,0,NA,NA
3393,F226,Male,2002,NA,F175,19-Aug-02,19-Aug-02,04-Sep-05,0,NA,NA,0,NA,NA
3814,F227,Female,2005,NA,FB09,02-Jun-05,02-Jun-05,04-Dec-14,1,2013,P,0,NA,NA
2988,F228,Male,1999,NA,FB65,25-May-99,25-May-99,04-Dec-14,1,2007,"A, C, D",0,NA,NA
4002,F229,Female,2008,NA,FB54,29-May-08,29-May-08,01-Dec-14,0,NA,NA,?,<2010,entanglement?
3365,F230,Male,2002,2007,F181,17-Jun-02,17-Jun-02,12-Jul-07,0,NA,NA,0,NA,NA
2277,F231,Female,1984,NA,NA,21-Sep-95,21-Sep-95,22-May-13,0,NA,NA,0,NA,NA
3352,F232,Male,2002,NA,FB75,04-Jun-02,04-Jun-02,11-Dec-14,1,2006,A,1,2006,entanglement
4074,F233,Female,2010,NA,F159,20-May-10,20-May-10,01-Dec-14,1,2012,P,0,NA,NA
3799,F234,Male,1999,NA,NA,16-Dec-04,16-Dec-04,03-Sep-14,1,2007,A,0,NA,NA
4091,F235,Female,2010,NA,F137,02-Aug-10,02-Aug-10,13-Nov-14,1,2013,A,0,NA,NA
3011,F236,Male,1994,NA,NA,19-Oct-99,19-Oct-99,05-Nov-14,1,2011,P,0,NA,NA
736,F237,Female,1982,NA,NA,27-Sep-88,11-Feb-93,15-Sep-14,0,NA,NA,0,NA,NA
3328,F238,Male,2002,NA,F119,26-Apr-02,26-Apr-02,05-Dec-14,1,2005,P,0,NA,NA
4075,F239,Female,2010,NA,F237,21-May-10,21-May-10,15-Sep-14,0,NA,NA,0,NA,NA
3737,F240,Male,2004,NA,F157,11-Jun-04,11-Jun-04,06-Jun-14,1,2008,A,0,NA,NA
3948,F241,Female,2007,NA,FB65,11-May-07,11-May-07,13-Nov-14,1,2013,A,0,NA,NA
3640,F242,Male,1990,NA,NA,12-Sep-03,12-Sep-03,04-Dec-14,1,2014,"A, B",0,NA,NA
4864,F243,Female,2012,NA,F197,17-May-12,17-May-12,11-Dec-14,1,2013,P,0,NA,NA
3734,F244,Male,2004,NA,F113,02-Jun-04,02-Jun-04,13-Aug-07,0,NA,NA,0,NA,NA
4849,F245,Female,2012,NA,F133,02-Jul-12,02-Jul-12,04-Dec-14,1,2014,H,1,2014,entanglement
3739,F246,Male,2004,NA,FB90,15-Jun-04,15-Jun-04,11-Dec-14,1,2010,P,0,NA,NA
4870,F247,Female,2012,NA,F175,15-Jun-12,15-Jun-12,26-Dec-14,1,2014,P,0,NA,NA
2930,F248,Male,1998,NA,SBDO,28-Jul-98,28-Jul-98,29-Nov-14,1,2010,A,1,2006,debris entanglement
4888,F249,Female,2011,NA,F185,08-Sep-11,08-Sep-11,20-Jun-14,0,NA,NA,1,<2014,entanglement
3820,F250,Male,2005,NA,FB11,13-Jul-05,13-Jul-05,11-Dec-14,1,2010,P,0,NA,NA
3878,F252,Male,2006,2018,FB93,10-Jul-06,10-Jul-06,02-Dec-14,1,2008,"A, C",1,2009-2012,entanglement
2108,F254,Male,1989,2020,NA,01-Oct-93,01-Oct-93,26-Dec-14,1,2006,A,0,NA,NA
3969,F256,Male,2007,NA,F125,05-Jul-07,05-Jul-07,03-Dec-14,1,2011,P,0,NA,NA
3014,F258,Male,1993,NA,NA,08-Dec-99,08-Dec-99,04-Dec-14,1,2002,P,0,NA,NA
