"","IndividualsFID","Alias","Sex","BirthYear","DeathYear","Mom","FirstSighted","FirstSighted_Begin1993","LastSighted_End2014","HI_Indiv","Year_Confirmed","First_HI_Type","HI_Injury","Year_of_Injury","Injury_Type"
"392",853,"F182","Male","1987",NA,"F183","22-Jun-89","19-Apr-93","01-Dec-14",0,NA,NA,"1","1990-1994","entanglement"
"398",2292,"F188","Male","1996","2022","FB33","22-May-96","22-May-96","04-Dec-14",1,2008,"A, C","1","1999-2002, 2012","entanglement, boat strike"
"400",2306,"F190","Male","1996",NA,"F181","19-Jun-96","19-Jun-96","01-Aug-14",1,2008,"A","0",NA,NA
"404",1009,"F194","Male","1974",NA,NA,"06-Oct-89","23-Aug-93","14-Jun-13",1,1990,"F","1","<1999","entanglement"
"406",2863,"F196","Male","1998",NA,"F101","04-Jun-98","04-Jun-98","11-Dec-14",1,2002,"P","1","2011-2014","entanglement"
"408",2298,"F198","Male","1996","2013","FB25","03-Jun-96","03-Jun-96","06-Aug-13",1,2008,"A, C","0",NA,NA
"413",3025,"F203","Female","2000",NA,"F149","26-May-00","26-May-00","10-May-11",1,2007,"A","0",NA,NA
"422",3054,"F215","Female","2000",NA,"FB99","20-Jul-00","20-Jul-00","04-Dec-14",0,NA,NA,"0",NA,NA
"425",2984,"F218","Male","1999",NA,"FB55","10-May-99","10-May-99","16-Jul-07",1,2006,"B","1","<2002","entanglement"
"426",2238,"F219","Female","1995",NA,"49LA","30-May-95","30-May-95","05-Nov-14",1,2006,"A","0",NA,NA
"427",2999,"F220","Male","1999",NA,"FB07","01-Jul-99","01-Jul-99","01-Oct-14",1,2005,"A","0",NA,NA
"429",3395,"F222","Male","1999",NA,"F131","22-Aug-02","22-Aug-02","04-Dec-14",1,2005,"A","1","2005","entanglement"
"435",2988,"F228","Male","1999",NA,"FB65","25-May-99","25-May-99","04-Dec-14",1,2007,"A, C, D","0",NA,NA
"443",3011,"F236","Male","1994",NA,NA,"19-Oct-99","19-Oct-99","05-Nov-14",1,2011,"P","0",NA,NA
"444",736,"F237","Female","1982",NA,NA,"27-Sep-88","11-Feb-93","15-Sep-14",0,NA,NA,"0",NA,NA
"455",2930,"F248","Male","1998",NA,"SBDO","28-Jul-98","28-Jul-98","29-Nov-14",1,2010,"A","1","2006","debris entanglement"
"461",3014,"F258","Male","1993",NA,NA,"08-Dec-99","08-Dec-99","04-Dec-14",1,2002,"P","0",NA,NA
"466",3015,"F268","Male","1993",NA,NA,"09-Dec-99","09-Dec-99","11-Dec-14",0,NA,NA,"1","2011-2014","entanglement"
"470",1786,"F276","Male","1992","2020","FB35","19-Aug-92","19-Apr-93","03-Dec-14",1,2006,"A","0",NA,NA
"479",1499,"FB02","Male","1991",NA,"FB59","19-Jun-91","01-Mar-93","04-Dec-14",1,2002,"P","0",NA,NA
"481",14,"FB05","Female","1963","2009",NA,"18-Mar-71","11-Jan-93","14-May-09",1,1990,"C","0",NA,NA
"483",505,"FB07","Female","1984",NA,"FB84","29-Jun-84","05-Feb-93","04-Dec-14",1,1991,"A","0",NA,NA
"485",509,"FB09","Female","1984","2009","FB63","12-Jul-84","05-Feb-93","02-Jun-09",1,1996,"P","1","1996","boat strike"
"486",190,"FB10","Male","1981",NA,"FB63","21-Sep-81","04-Feb-93","10-Nov-14",0,NA,NA,"0",NA,NA
"487",517,"FB11","Female","1984",NA,"FB19","14-Sep-84","05-Feb-93","11-Dec-14",1,2014,"A","1","1985","entanglement"
"489",34,"FB13","Female","1959","2009",NA,"01-Aug-75","05-Feb-93","16-Jun-09",0,NA,NA,"0",NA,NA
