"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.ASOC.Sex","CONS.ASOC.Age","CONS.SOCIAL.Sex","CONS.SOCIAL.Age","CONS.A.S.Sex","CONS.A.S.Age","OFFs1","OFFs2","OFFs3","OFFASOC.Sex","OFFASOC.Age","OFFSOCIAL.Sex","OFFSOCIAL.Age","OFFA.S.Sex","OFFA.S.Age","convergence","loglik","s1","s2","s3","ASOCIALSex","ASOCIALAge","SOCIALSex","SOCIALAge","SEs1","SEs2","SEs3","SEasocialSex","SEasocialAge","SEsocialSex","SEsocialAge","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"98",98,"additive","1:2:0",NA,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.935258601227,867230.588326461,12169590.2655594,0,9.99977228011243,0,0,0,NA,NA,0,NA,0,0,0,583.870517202454,584.223458378925,5.3848766766821,0.067715624303606,0.0133029527750113
"84",84,"additive","0:1:2",NA,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.950342677974,0,7776618.29017881,0,9.55255892911635,0,0,0,0,NA,NA,NA,0,0,0,583.900685355949,584.253626532419,5.41504483017638,0.0667018616878375,0.0131037958397939
"12",12,"unconstrained","0:1:2",NA,0,1,2,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.737554449287,0,51525250.5888911,0,8.23926579062629,0,-0.516581312891441,-0.00160141052923237,0,NA,NA,NA,0,NA,NA,583.475108898574,584.384199807665,5.54561810542236,0.0624862308624735,0.0122756215688862
"21",21,"unconstrained","1:2:0",NA,1,2,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.74075813181,0,2006730.47429721,0,5.89282509728016,0,-0.514704587729015,-0.0011735683012168,NA,NA,0,NA,0,NA,NA,583.481516263621,584.390607172712,5.55202547046906,0.062286365140814,0.0122363573033061
"28",28,"unconstrained","1:2:3",NA,1,2,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.780020037192,23956.4611839673,395046.898716402,0,6.57878447563419,0,-0.504347675913986,0,NA,NA,30.5261948270972,NA,0,0.24432977898349,0,583.560040074384,584.469130983475,5.63054928123211,0.0598882687302767,0.0117652435296773
"95",95,"socialEffectsOnly","1:2:0",NA,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.416415254206,0.168034676606436,3.0753163531442,0,0,0,0,0.00276256979085983,4.06821977568567,68.3661438377505,0,0,0,0,0.0111546549810271,584.832830508412,585.185771684883,6.34718998263975,0.0418528664350767,0.00822213058523086
"81",81,"socialEffectsOnly","0:1:2",NA,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.426526438255,0,2.13320092953068,0,0,0,0,0.00294847107268079,0,1.14123713884472,NA,0,0,0,0.000708130673656368,584.85305287651,585.205994052981,6.36741235073816,0.0414318166427361,0.00813941399565439
"99",99,"noILVs","1:2:3",NA,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.447369948138,49.4021523733888,739.492584761799,0,0,0,0,0,294.875397541164,NA,NA,0,0,0,0,584.894739896275,585.247681072746,6.40909937050299,0.0405771700224156,0.00797151591088636
"24",24,"socialEffectsOnly","1:2:3",NA,1,2,3,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.32207225361,0,25214.980196374,0,0,0,-0.507492324050275,-0.00165418189190695,41.8816396706416,24722.1252048205,NA,0,0,0.242880186001379,0.000722498506852558,584.644144507221,585.553235416312,6.71465371406873,0.0348282354722563,0.00684211917839065
"58",58,"unconstrained","1:2:0",NA,1,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.902821222149,1019.26026824276,25763.1583602236,0,9.62838100516481,0,0,0.00291513972826473,NA,NA,0,NA,0,0,NA,585.805642444299,586.402657369672,7.56407566742928,0.0227762299315258,0.00447446382260927
