"","Mom","Alias","BirthYear","Depart"
"862",NA,"PECK",1985,1991
"863",NA,"PHIL",1985,1991
"864",NA,"PHIN",1985,1991
"865","PHIL","PHL1",2004,2010
"866","PHIL","PHL2",1985,1991
"867",NA,"PHNE",1985,1991
"868","PILA","PIL1",2004,2010
"869",NA,"PILA",1985,1991
"871",NA,"PITA",1985,1991
"872","PLUG","PLG2",1985,1991
"875",NA,"PLUG",1985,1991
"876",NA,"PMID",1985,1991
"877",NA,"PMTI",1985,1991
"878",NA,"PN04",1985,1991
"879",NA,"PN05",1985,1991
"880","PNBT","PNB2",1985,1991
"881","PNBT","PNB3",1985,1991
"882","PNBT","PNBC",2006,2012
"883",NA,"PNBS",1985,1991
"884",NA,"PNBT",1985,1991
"885",NA,"PNGS",1985,1991
"886",NA,"PNKD",1985,1991
"888",NA,"PNTB",1985,1991
"889",NA,"POCO",1985,1991
"891",NA,"POLV",1985,1991
"892",NA,"POOF",1985,1991
"893",NA,"PORT",1985,1991
"894","PPSL","PPS1",1985,1991
"895",NA,"PPSL",1985,1991
"896","PRFR","PRF2",1985,1991
"897","PRFR","PRF3",1985,1991
"898","PRFR","PRF4",1985,1991
"899","PRFR","PRFC",1985,1991
"900",NA,"PRFR",1985,1991
"901",NA,"PRN2",1985,1991
"902",NA,"PROF",1985,1991
"903",NA,"PRST",1985,1991
"904","PSBZ","PSB2",1985,1991
"905",NA,"PSBZ",1985,1991
"906","PSDQ","PSC3",1985,1991
"907","PSDQ","PSC4",1999,2005
"908","PSDQ","PSC5",2005,2011
"909","PSDQ","PSC6",2009,2015
"910","PSDQ","PSC7",2013,2019
"911","PSDZ","PSD2",1985,1991
"913",NA,"PSDQ",1985,1991
"915",NA,"PUMP",1985,1991
"916",NA,"Q5LA",1985,1991
"917","TSMV","QECD",1999,2005
"918",NA,"QUIN",1985,1991
"919",NA,"R27L",1985,1991
"921","SBUK","RCCR",1985,1991
"922","RCNM","RCN2",1985,1991
"923",NA,"RCNM",1985,1991
"924","FUHU","RFIO",1985,1991
"925",NA,"RFNT",1985,1991
"926",NA,"RLTY",1985,1991
"927",NA,"RMPL",1985,1991
"928",NA,"RMUS",1985,1991
"929",NA,"ROOS",1985,1991
"930",NA,"ROSS",1985,1991
"931",NA,"RPIA",1985,1991
"932","BRDO","RPPL",1989,1995
"933",NA,"RSFG",1985,1991
"934",NA,"RT90",1985,1991
"935","RT90","RT92",1985,1991
"936","RTMW","RTM2",1997,2003
"937","RTMW","RTM3",2004,2010
"938","RTMW","RTM4",2009,2015
"939","RTMW","RTM5",2012,2018
"941",NA,"RTMW",1985,1991
"942",NA,"RUBB",1985,1991
"943",NA,"RUF2",1985,1991
"944",NA,"RUFF",1985,1991
"945",NA,"RY34",1985,1991
"946",NA,"RZLR",1985,1991
"947",NA,"SBDO",1985,1991
"948",NA,"SBOK",1985,1991
"949",NA,"SBPE",1985,1991
"950",NA,"SBPN",1985,1991
"951",NA,"SBUK",1985,1991
"952",NA,"SCBT",1985,1991
"953",NA,"SCNE",1985,1991
"954",NA,"SCOR",1985,1991
"955","SCSM","SCS1",2005,2011
"956","SCSM","SCS2",2007,2013
"957",NA,"SCSM",1985,1991
"958",NA,"SCTN",1985,1991
"959",NA,"SCUP",1985,1991
"960",NA,"SDSW",1985,1991
"961","SETE","SEE1",1985,1991
"962",NA,"SEWL",1985,1991
"963",NA,"SGDM",1985,1991
"964","SGLA","SGL1",1985,1991
"965",NA,"SGLA",1985,1991
"966",NA,"SGPP",1985,1991
"967","DUDE","SHBT",2004,2010
"968",NA,"SHNU",1985,1991
"969",NA,"SHOT",1985,1991
"970",NA,"SHTC",1985,1991
"971","SIMP","SIM1",2007,2013
"972","SIMP","SIM2",1985,1991
"973",NA,"SIMP",1985,1991
"974",NA,"SKYE",1985,1991
"975",NA,"SLIT",1985,1991
"976","SLJY","SLJ1",1985,1991
"977",NA,"SLJY",1985,1991
"978",NA,"SLLA",1985,1991
"979",NA,"SLMS",1985,1991
"980",NA,"SMUS",1985,1991
"981",NA,"SNOT",1985,1991
"982",NA,"SOFA",1985,1991
"983",NA,"SOGG",1985,1991
"984",NA,"SOLB",1985,1991
"985",NA,"SOLS",1985,1991
"986",NA,"SOPO",1985,1991
"987",NA,"SPAC",1985,1991
"988",NA,"SPEC",1985,1991
"989",NA,"SPIK",1985,1991
"990",NA,"SPLA",1985,1991
"992",NA,"SPTL",1985,1991
"993",NA,"SQBT",1985,1991
"994",NA,"SRDO",1985,1991
"995",NA,"SRFR",1985,1991
"996",NA,"SSHK",1985,1991
"997","STEW","STE1",2007,2013
"998","STEW","STE2",1985,1991
"999",NA,"STEW",1985,1991
"1000",NA,"STKY",1985,1991
"1001",NA,"STLB",1985,1991
"1002",NA,"STMN",1985,1991
"1003",NA,"STWR",1985,1991
"1004",NA,"SUFL",1985,1991
"1005",NA,"SUMO",1985,1991
"1006",NA,"SURR",1985,1991
"1007","GITR","TABB",1985,1991
"1008","TAL2","TAC2",1985,1991
"1009",NA,"TAL2",1985,1991
"1010",NA,"TAL3",1985,1991
"1013",NA,"TBEL",1985,1991
"1014",NA,"TBTN",1985,1991
"1015","TCTV","TCT1",2008,2014
"1016",NA,"TCTV",1985,1991
"1017","TDTL","TDT2",1985,1991
"1018","TDTL","TDTC",2006,2012
"1019",NA,"TDTL",1985,1991
"1020",NA,"TEEN",1985,1991
"1021",NA,"TEKK",1985,1991
"1022","ULYS","TELE",1985,1991
"1025",NA,"TFMS",1985,1991
"1026",NA,"THAL",1985,1991
"1027",NA,"THMN",1985,1991
"1028",NA,"THNM",1985,1991
"1029","THOR","THOC",1985,1991
"1030",NA,"THOR",1985,1991
"1031",NA,"THRS",1985,1991
"1032",NA,"THTH",1985,1991
"1033",NA,"THUB",1985,1991
"1034",NA,"TIGR",1985,1991
"1035","MYST","TKID",1985,1991
"1037",NA,"TMHK",1985,1991
"1038","TMLT","TML1",1985,1991
"1039",NA,"TMLT",1985,1991
"1040",NA,"TMSP",1985,1991
"1041",NA,"TNBP",1985,1991
"1042",NA,"TNFG",1985,1991
"1043",NA,"TNSC",1985,1991
"1044",NA,"TNSL",1985,1991
"1045",NA,"TONG",1985,1991
"1046",NA,"TOT2",1985,1991
"1047",NA,"TPOT",1985,1991
"1048",NA,"TREX",1985,1991
"1050",NA,"TRIF",1985,1991
"1051",NA,"TRIM",1985,1991
"1052",NA,"TRLI",1985,1991
"1053","TRIM","TRM1",1985,1991
"1054",NA,"TRNO",1985,1991
"1055",NA,"TRTA",1985,1991
"1056",NA,"TSMV",1985,1991
"1057",NA,"TTA2",1985,1991
"1058",NA,"TTM3",1985,1991
"1059",NA,"TTOO",1985,1991
"1060",NA,"TUPE",1985,1991
"1061",NA,"TWHN",1985,1991
"1062",NA,"UFSK",1985,1991
"1063",NA,"ULRU",1985,1991
"1064",NA,"ULTA",1985,1991
"1065","ULYS","ULY2",2006,2012
"1066","ULYS","ULY3",2009,2015
"1067","ULYS","ULY4",1985,1991
"1068",NA,"ULYS",1985,1991
"1069","UNDG","UND1",1985,1991
"1070","UNDG","UND2",1985,1991
"1071",NA,"UNDG",1985,1991
"1072",NA,"UNLR",1985,1991
"1073",NA,"UPBK",1985,1991
"1074",NA,"URLN",1985,1991
"1075",NA,"USLN",1985,1991
"1076",NA,"VAIL",1985,1991
"1077",NA,"VANB",1985,1991
"1078",NA,"VCRO",1998,2004
"1079",NA,"VCUM",1985,1991
"1080",NA,"VIVA",1985,1991
"1081",NA,"VIZZ",1985,1991
"1082",NA,"VLKA",1985,1991
"1083",NA,"VNGL",1985,1991
"1084",NA,"VOLD",1985,1991
"1085",NA,"VRIP",1985,1991
"1086",NA,"VRLA",1985,1991
"1087","VSTH","VST2",1985,1991
"1088","VSTH","VSTC",2006,2012
"1089",NA,"VSTH",1985,1991
"1090",NA,"VTHN",1985,1991
"1091",NA,"WALT",1985,1991
"1092","WAND","WAN1",1985,1991
"1093",NA,"WAND",1985,1991
"1094",NA,"WEBS",1985,1991
"1095","PRFR","WEEZ",1985,1991
"1096","WENT","WEN1",2013,2019
"1097",NA,"WENT",1985,1991
"1098",NA,"WHAT",1985,1991
"1099",NA,"WHIT",1985,1991
"1100",NA,"WHMR",1985,1991
"1101",NA,"WHOO",1985,1991
"1102",NA,"WHTS",1985,1991
"1103",NA,"WHYY",1985,1991
"1104",NA,"WIFF",1985,1991
"1105",NA,"WILL",1985,1991
"1106","WINN","WIN1",1985,1991
"1107",NA,"WINE",1985,1991
"1108",NA,"WINN",1985,1991
"1109",NA,"WINS",1985,1991
"1110",NA,"WLDC",1985,1991
"1111",NA,"WLET",1985,1991
"1112",NA,"WLFL",1985,1991
"1113",NA,"WORM",1985,1991
"1114",NA,"WRTH",1985,1991
"1115",NA,"WTAB",1985,1991
"1116",NA,"WTKN",1985,1991
"1117",NA,"WTMA",1985,1991
"1118",NA,"WTMS",1985,1991
"1119",NA,"WVLT",1985,1991
"1120","HAIR","WWJD",2004,2010
"1121",NA,"XERX",1985,1991
"1122",NA,"XYLO",1985,1991
"1123",NA,"YANK",1985,1991
"1124",NA,"YELP",1985,1991
"1125",NA,"YIKE",1985,1991
"1126","OXEN","YOKE",1985,1991
"1127",NA,"ZBRA",1985,1991
"1128","ZEDM","ZEDC",1985,1991
"1129","ZELD","ZEL1",2000,2006
"1130","ZELD","ZEL2",1985,1991
"1131","ZELD","ZEL3",1985,1991
"1132","ZELD","ZEL4",1985,1991
"1133",NA,"ZELD",1985,1991
"1134",NA,"ZENN",1985,1991
"1135",NA,"ZIPP",1985,1991
"1137",NA,"ZOOK",1985,1991
"1138","ZIPP","ZPP1",2008,2014
"1139","ZRBA","ZRB2",2007,2013
"1140",NA,"ZRBA",1985,1991
"1141","ZRBA","ZRBC",1999,2005
"1142",NA,"ZULU",1985,1991
